City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hilo,US,80.33,moderate rain,19.73,-155.09,Hilo Hawaiian Hotel
4,Hithadhoo,MV,80.74,broken clouds,-0.6,73.08,Scoop Guest House
11,Salalah,OM,77.09,drizzle,17.02,54.09,HAMDAN PLAZA HOTEL SALALAH
15,Naukot,PK,83.25,overcast clouds,24.86,69.4,Danish Boot House
16,Hamilton,US,77.88,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
24,Fortuna,US,77.47,overcast clouds,40.6,-124.16,Super 8 by Wyndham Fortuna
26,Mitsamiouli,KM,75.42,clear sky,-11.38,43.28,Foyer ADM
31,Saint Marys,US,79.23,clear sky,30.73,-81.55,Spencer House Inn
35,Wajima,JP,83.08,broken clouds,37.4,136.9,Wajiima Onsen Yashio
38,Mayo,US,82.13,clear sky,38.89,-76.51,Resorts Resource Group International
41,Naze,JP,83.32,broken clouds,28.37,129.48,奄美ポートタワーホテル
49,Tommot,RU,75.61,clear sky,58.96,126.29,Gostinitsa Tommot
59,Bathsheba,BB,81.21,scattered clouds,13.22,-59.52,Atlantis Hotel
61,Martinsburg,US,78.73,clear sky,39.46,-77.96,"Holiday Inn Martinsburg, an IHG Hotel"
64,Kristoni,GR,77.22,clear sky,40.96,22.86,Habitat Hotel
71,Awbari,LY,80.26,clear sky,26.59,12.78,فندق أوباري
74,Avarua,CK,77.05,few clouds,-21.21,-159.78,Paradise Inn
80,Benghazi,LY,78.31,clear sky,32.12,20.07,Tibesti Hotel
89,San Andres,CO,82.42,broken clouds,12.58,-81.7,Hotel Arena Blanca
91,Kavieng,PG,84.09,light rain,-2.57,150.8,Nusa Island Retreat
92,Victoria Point,AU,76.06,clear sky,-27.58,153.3,Bay Retreat Motel
96,Vanimo,PG,84.04,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
97,Cayenne,GF,82.09,clear sky,4.93,-52.33,Hôtel Le Dronmi
101,Acarau,BR,77.43,few clouds,-2.89,-40.12,castelo pizzaria
103,Muli,MV,80.53,overcast clouds,2.92,73.57,Medhufushi Island Resort
107,Cartagena,CO,76.62,light intensity drizzle,10.4,-75.51,Hotel Colombia Real - Cartagena
110,Siparia,TT,79.07,overcast clouds,10.13,-61.5,Brook Gardens
112,Ano Mera,GR,79.66,clear sky,37.45,25.4,Hotel La Résidence Mykonos
114,Butaritari,KI,81.66,overcast clouds,3.07,172.79,Isles Sunset Lodge
116,Wilmington,US,82.31,few clouds,34.23,-77.94,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
