,City,Country,Lat,Lng,Max Temp,% Humidity,% Cloudiness,Wind Speed,Current Description
0,Hilo,US,19.73,-155.09,80.33,83,90,11.5,moderate rain
1,Pevek,RU,69.70,170.31,38.44,86,97,9.69,overcast clouds
2,Bambous Virieux,MU,-20.34,57.76,68.22,94,75,16.11,moderate rain
3,Anjozorobe,MG,-18.40,47.87,48.52,95,39,3.4,scattered clouds
4,Hithadhoo,MV,-0.60,73.08,80.74,78,61,9.01,broken clouds
5,Ushuaia,AR,-54.80,-68.30,38.86,93,90,4.61,light rain
6,Souillac,MU,-20.52,57.52,68.36,94,75,16.11,heavy intensity rain
7,Esperance,AU,-33.87,121.90,55.24,62,2,17.27,clear sky
8,Dingle,PH,11.00,122.67,87.33,65,76,17.45,broken clouds
9,Ono,JP,34.85,134.93,87.87,44,28,5.44,scattered clouds
10,Upernavik,GL,72.79,-56.15,49.1,75,98,8.81,overcast clouds
11,Salalah,OM,17.02,54.09,77.09,100,90,9.22,drizzle
12,Cherskiy,RU,68.75,161.30,38.23,75,100,18.63,overcast clouds
13,Praia Da Vitoria,PT,38.73,-27.07,72.75,94,75,7.16,broken clouds
14,Portland,US,45.52,-122.68,87.28,42,40,1.99,scattered clouds
15,Naukot,PK,24.86,69.40,83.25,77,100,23.44,overcast clouds
16,Hamilton,US,39.18,-84.53,77.88,79,1,0.0,clear sky
17,Busselton,AU,-33.65,115.33,57.04,68,46,19.93,scattered clouds
18,Provideniya,RU,64.38,-173.30,50.11,81,90,15.66,moderate rain
19,Khani,GE,41.96,42.96,60.37,93,96,2.42,overcast clouds
20,Vostok,RU,46.49,135.88,87.28,57,73,0.85,broken clouds
21,Albany,US,42.60,-73.97,67.75,93,100,3.0,overcast clouds
22,Savonlinna,FI,61.87,28.88,61.25,100,0,2.3,clear sky
23,Egvekinot,RU,66.32,-179.17,39.74,90,100,11.77,moderate rain
24,Fortuna,US,40.60,-124.16,77.47,92,90,4.61,overcast clouds
25,Faya,SA,18.39,42.45,64.51,84,75,5.82,broken clouds
26,Mitsamiouli,KM,-11.38,43.28,75.42,68,2,8.03,clear sky
27,Jamestown,US,42.10,-79.24,69.12,82,1,3.8,clear sky
28,Mataura,NZ,-46.19,168.86,51.48,79,79,1.45,broken clouds
29,Mufumbwe,ZM,-13.68,24.80,45.23,74,100,5.1,overcast clouds
30,Brae,GB,60.40,-1.35,55.31,95,91,7.2,overcast clouds
31,Saint Marys,US,30.73,-81.55,79.23,74,1,4.0,clear sky
32,Lompoc,US,34.64,-120.46,73.78,81,90,12.66,overcast clouds
33,Clyde River,CA,70.47,-68.59,43.03,87,90,6.91,overcast clouds
34,Bluff,NZ,-46.60,168.33,51.8,70,32,6.6,scattered clouds
35,Wajima,JP,37.40,136.90,83.08,69,75,5.75,broken clouds
36,Nanortalik,GL,60.14,-45.24,43.97,84,100,3.96,overcast clouds
37,Yellowknife,CA,62.46,-114.35,61.32,48,75,9.22,broken clouds
38,Mayo,US,38.89,-76.51,82.13,87,1,1.01,clear sky
39,Nemuro,JP,43.32,145.57,86.43,88,24,10.13,few clouds
40,Tarabuco,BO,-19.17,-64.92,37.2,80,97,2.39,overcast clouds
41,Naze,JP,28.37,129.48,83.32,84,56,12.84,broken clouds
42,Punta Arenas,CL,-53.15,-70.92,44.71,81,75,20.71,broken clouds
43,Luderitz,NA,-26.65,15.16,54.54,72,0,9.17,clear sky
44,Mount Gambier,AU,-37.83,140.77,46.31,87,75,29.93,broken clouds
45,Camacha,PT,33.08,-16.33,67.42,78,75,12.66,broken clouds
46,Cabo San Lucas,MX,22.89,-109.91,90.7,69,1,8.01,clear sky
47,Bykovo,RU,55.64,38.08,67.55,88,0,2.24,clear sky
48,Qaqortoq,GL,60.72,-46.03,46.9,79,100,3.2,overcast clouds
49,Tommot,RU,58.96,126.29,75.61,44,7,4.68,clear sky
50,Saskylakh,RU,71.92,114.08,66.76,38,16,19.46,few clouds
51,Thompson,CA,55.74,-97.86,68.16,60,75,4.61,broken clouds
52,Zhigansk,RU,66.77,123.37,64.27,52,58,9.15,broken clouds
53,Arraial Do Cabo,BR,-22.97,-42.03,70.21,84,0,19.93,clear sky
54,Santa Fe,AR,-31.63,-60.70,47.01,45,93,4.0,overcast clouds
55,Castro,BR,-24.79,-50.01,46.02,91,100,7.02,overcast clouds
56,Conselheiro Pena,BR,-19.17,-41.47,67.26,75,7,2.3,clear sky
57,Cape Town,ZA,-33.93,18.42,52.21,87,20,1.01,few clouds
58,Iqaluit,CA,63.75,-68.51,44.33,75,40,8.99,scattered clouds
59,Bathsheba,BB,13.22,-59.52,81.21,78,40,16.11,scattered clouds
60,New Norfolk,AU,-42.78,147.06,57.92,47,53,12.26,broken clouds
61,Martinsburg,US,39.46,-77.96,78.73,69,1,0.0,clear sky
62,Mar Del Plata,AR,-38.00,-57.56,46.13,63,90,10.0,light rain
63,Thunder Bay,CA,48.40,-89.32,67.98,71,75,3.44,smoke
64,Kristoni,GR,40.96,22.86,77.22,57,0,3.18,clear sky
65,Tabasalu,EE,59.43,24.53,66.29,94,20,12.66,few clouds
66,Rikitea,PF,-23.12,-134.97,74.21,79,100,15.3,overcast clouds
67,Torbay,CA,47.67,-52.73,66.97,95,90,10.36,light intensity shower rain
68,Ocotal,NI,13.63,-86.48,69.12,99,97,3.36,light rain
69,Bredasdorp,ZA,-34.53,20.04,52.92,66,100,8.05,overcast clouds
70,Barrow,US,71.29,-156.79,42.82,91,90,19.57,mist
71,Awbari,LY,26.59,12.78,80.26,25,0,8.14,clear sky
72,Pisco,PE,-13.70,-76.22,62.65,82,0,14.97,clear sky
