City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dikson,RU,2021-07-27 01:33:26,73.5069,80.5464,38.71,99,100,8.63
1,Vila Velha,BR,2021-07-27 01:30:00,-20.3297,-40.2925,69.75,88,40,3.44
2,Nikolskoye,RU,2021-07-27 01:33:26,59.7035,30.7861,60.03,73,6,3.89
3,Cidreira,BR,2021-07-27 01:33:26,-30.1811,-50.2056,62.28,98,100,8.41
4,Ushuaia,AR,2021-07-27 01:31:27,-54.8,-68.3,33.46,86,75,3.44
5,Sandomierz,PL,2021-07-27 01:33:27,50.6827,21.749,68.67,90,84,8.01
6,Gidrotorf,RU,2021-07-27 01:33:27,56.4744,43.5414,61.61,73,37,6.51
7,Thompson,CA,2021-07-27 01:31:51,55.7435,-97.8558,69.96,40,20,8.05
8,Punta Arenas,CL,2021-07-27 01:32:14,-53.15,-70.9167,41.11,81,75,5.75
9,Mataura,NZ,2021-07-27 01:33:27,-46.1927,168.8643,52.48,71,16,4.97
10,Mahebourg,MU,2021-07-27 01:33:27,-20.4081,57.7,68.29,88,75,12.66
11,Rikitea,PF,2021-07-27 01:33:28,-23.1203,-134.9692,74.75,80,98,17.38
12,Qaanaaq,GL,2021-07-27 01:33:28,77.484,-69.3632,42.35,83,100,7.7
13,Hilo,US,2021-07-27 01:31:09,19.7297,-155.09,78.53,86,75,11.5
14,Ribeira Grande,PT,2021-07-27 01:33:28,38.5167,-28.7,70.97,89,95,8.86
15,Arraial Do Cabo,BR,2021-07-27 01:33:29,-22.9661,-42.0278,70.05,84,0,25.95
16,Sao Joao Da Barra,BR,2021-07-27 01:33:29,-21.6403,-41.0511,70.54,84,0,14.9
17,Hamilton,US,2021-07-27 01:29:24,39.1834,-84.5333,80.82,65,1,0.0
18,Saint George,US,2021-07-27 01:32:03,37.1041,-113.5841,82.54,78,1,6.91
19,Hobart,AU,2021-07-27 01:33:21,-42.8794,147.3294,58.91,65,75,3.0
20,Tiksi,RU,2021-07-27 01:33:29,71.6872,128.8694,38.68,87,76,10.67
21,Naze,JP,2021-07-27 01:31:01,28.3667,129.4833,83.32,82,100,13.09
22,Saint-Philippe,RE,2021-07-27 01:33:30,-21.3585,55.7679,65.79,84,75,10.18
23,Hermanus,ZA,2021-07-27 01:33:30,-34.4187,19.2345,54.9,62,2,9.33
24,Vostok,RU,2021-07-27 01:33:30,46.4856,135.8833,85.32,58,100,4.18
25,Puerto Ayora,EC,2021-07-27 01:33:31,-0.7393,-90.3518,71.55,86,19,5.01
26,Iqaluit,CA,2021-07-27 01:29:49,63.7506,-68.5145,49.73,81,75,3.0
27,Shache,CN,2021-07-27 01:33:31,38.4167,77.2406,90.91,23,100,2.77
28,Avarua,CK,2021-07-27 01:28:52,-21.2078,-159.775,78.85,73,20,9.22
29,Longyearbyen,SJ,2021-07-27 01:33:31,78.2186,15.6401,43.39,86,100,0.94
30,Papayal,PE,2021-07-27 01:33:32,-4.0761,-80.7361,71.62,77,49,1.68
31,Akdepe,TM,2021-07-27 01:33:32,42.0551,59.3788,75.29,30,0,7.99
32,Castro,BR,2021-07-27 01:33:32,-24.7911,-50.0119,58.37,60,42,4.97
33,Marawi,PH,2021-07-27 01:33:33,7.9986,124.2928,84.65,59,85,8.05
34,Santiago,CL,2021-07-27 01:30:05,-33.4569,-70.6483,50.85,66,0,2.3
35,Flin Flon,CA,2021-07-27 01:33:33,54.7682,-101.865,68.86,44,32,3.2
36,Chimichagua,CO,2021-07-27 01:33:33,9.2578,-73.8123,75.42,95,100,5.23
37,Gondanglegi,ID,2021-07-27 01:33:33,-7.7479,112.0132,83.41,60,73,10.09
38,Bengkulu,ID,2021-07-27 01:33:34,-3.8004,102.2655,81.3,61,18,2.19
39,Boa Vista,BR,2021-07-27 01:33:34,2.8197,-60.6733,78.78,89,75,4.61
40,Norman Wells,CA,2021-07-27 01:33:35,65.282,-126.8329,64.44,59,90,9.22
41,Bredasdorp,ZA,2021-07-27 01:33:35,-34.5322,20.0403,47.52,76,8,4.61
42,Sao Filipe,CV,2021-07-27 01:33:35,14.8961,-24.4956,74.97,85,24,9.01
43,Oga,IT,2021-07-27 01:33:36,46.4631,10.347,54.28,95,100,3.98
44,Bluff,NZ,2021-07-27 01:33:36,-46.6,168.3333,52.81,71,11,21.25
45,Sechura,PE,2021-07-27 01:33:36,-5.5569,-80.8222,68.86,78,68,16.49
46,Parrita,CR,2021-07-27 01:33:36,9.5201,-84.3225,80.98,84,100,2.53
47,Port Alfred,ZA,2021-07-27 01:33:29,-33.5906,26.891,60.67,31,21,10.45
48,Awbari,LY,2021-07-27 01:33:37,26.5921,12.7805,81.46,19,5,7.96
49,Souillac,MU,2021-07-27 01:33:37,-20.5167,57.5167,68.38,88,75,12.66
50,Bambous Virieux,MU,2021-07-27 01:33:37,-20.3428,57.7575,68.25,88,75,12.66
51,Grand Island,US,2021-07-27 01:33:38,40.925,-98.342,84.49,72,1,1.01
52,Necochea,AR,2021-07-27 01:33:38,-38.5473,-58.7368,40.03,68,93,21.92
53,Leningradskiy,RU,2021-07-27 01:33:38,69.3833,178.4167,40.98,82,80,8.88
54,Stege,DK,2021-07-27 01:33:38,54.987,12.2846,66.6,86,69,2.3
55,Los Llanos De Aridane,ES,2021-07-27 01:33:39,28.6585,-17.9182,69.55,96,90,14.97
56,Barrow,US,2021-07-27 01:33:39,71.2906,-156.7887,46.42,93,90,6.91
57,Atuona,PF,2021-07-27 01:33:39,-9.8,-139.0333,77.81,70,35,21.5
58,Ascension,US,2021-07-27 01:33:40,30.2169,-90.9001,84.0,92,1,0.0
59,Hobyo,SO,2021-07-27 01:33:40,5.3505,48.5268,76.55,71,93,21.81
60,Touros,BR,2021-07-27 01:33:40,-5.1989,-35.4608,74.3,88,8,8.97
61,Lasa,IT,2021-07-27 01:33:41,46.6166,10.7002,61.68,96,100,2.59
62,Tuatapere,NZ,2021-07-27 01:33:41,-46.1333,167.6833,52.83,64,16,6.42
63,Lorengau,PG,2021-07-27 01:33:42,-2.0226,147.2712,84.34,72,83,4.05
64,Umm Kaddadah,SD,2021-07-27 01:33:42,13.6017,26.6876,76.39,68,63,8.03
65,Albany,US,2021-07-27 01:32:26,42.6001,-73.9662,72.21,77,0,5.35
66,Lavrentiya,RU,2021-07-27 01:33:42,65.5833,-171.0,44.92,98,100,3.47
67,Mulchen,CL,2021-07-27 01:33:43,-37.7167,-72.2333,38.64,86,5,6.44
68,Jamestown,US,2021-07-27 01:29:34,42.097,-79.2353,73.04,64,1,5.23
69,Victoria,HK,2021-07-27 01:30:07,22.2855,114.1577,92.97,80,99,5.99
70,Turukhansk,RU,2021-07-27 01:33:43,65.8167,87.9833,80.64,48,7,17.9
71,Cabo San Lucas,MX,2021-07-27 01:31:55,22.8909,-109.9124,93.51,63,1,8.01
72,Pevek,RU,2021-07-27 01:33:43,69.7008,170.3133,35.82,90,97,18.34
73,Cape Town,ZA,2021-07-27 01:30:04,-33.9258,18.4232,57.88,78,0,1.99
74,Qaqortoq,GL,2021-07-27 01:33:44,60.7167,-46.0333,52.3,82,71,8.05
